SEGGER J-Link V6.42b Log File
DLL Compiled: Feb  5 2019 17:31:40
Logging started @ 2019-05-28 20:46

T3ED8 000:000 JLINK_Api_MRU_GetList()JLINK_DEVICE_GetInfo(DeviceIndex = -1)XML file found at: C:\Program Files (x86)\SEGGER\JLink_V642b\JLinkDevices.xml (0004ms, 0016ms total)
T3ED8 008:779 C:\Program Files (x86)\SEGGER\JLink_V642b\JLinkDevices.xml evaluated successfully.  returns 6698 (0141ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 0)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 1)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 2)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 3)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 4)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 5)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 6)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 7)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 8)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 9)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 10)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 11)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 12)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 13)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 14)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 15)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 16)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 17)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 18)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 19)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 20)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 21)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 22)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 23)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 24)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 25)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 26)  returns 0 (0000ms, 0153ms total)
T3ED8 008:926 JLINK_DEVICE_GetInfo(DeviceIndex = 27)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 28)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 29)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 30)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 31)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 32)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 33)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 34)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 35)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 36)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 37)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 38)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 39)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 40)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 41)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 42)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 43)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 44)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 45)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 46)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 47)  returns 0 (0000ms, 0153ms total)
T3ED8 008:927 JLINK_DEVICE_GetInfo(DeviceIndex = 48)  returns 0 (0001ms, 0154ms total)
T3ED8 008:928 JLINK_DEVICE_GetInfo(DeviceIndex = 49)  returns 0 (0000ms, 0154ms total)
